Spot_Price,STRIKE,DTE,DTB3,C_IV,C_DELTA,C_GAMMA,C_VEGA,C_THETA,C_RHO,C_LAST,C_BID,C_ASK,QUOTE_DATE,EXPIRE_DATE,BS_Call_Price,Percentage_Change
3852.969970703125,3905.0,7.0,4.41,0.17018,0.3026,0.00362,1.95846,-2.24001,0.24355,15.0,18.0,18.4,2023-01-04, 2023-01-11,17.153124132168614,-16.666666666666664
3852.969970703125,3910.0,7.0,4.41,0.1704,0.2857,0.00357,1.90571,-2.17533,0.2294,13.6,16.6,17.0,2023-01-04, 2023-01-11,15.775934710702586,-18.072289156626514
3852.969970703125,3915.0,7.0,4.41,0.16904,0.26588,0.00348,1.84223,-2.07981,0.21397,13.8,15.0,15.4,2023-01-04, 2023-01-11,14.21101168276266,-7.999999999999995
3852.969970703125,3920.0,7.0,4.41,0.16813,0.24861,0.00333,1.77903,-1.99535,0.20053,11.16,13.7,14.0,2023-01-04, 2023-01-11,12.826118511382788,-18.540145985401455
3852.969970703125,3925.0,7.0,4.41,0.16815,0.23233,0.00325,1.71294,-1.90932,0.18698,10.0,12.4,12.8,2023-01-04, 2023-01-11,11.687145662354284,-19.35483870967742
3852.969970703125,3930.0,7.0,4.41,0.16675,0.21469,0.00311,1.6403,-1.81022,0.17279,9.34,11.2,11.5,2023-01-04, 2023-01-11,10.410392600720227,-16.607142857142854
3852.969970703125,3935.0,7.0,4.41,0.1688,0.20146,0.00293,1.58105,-1.75228,0.16201,8.1,10.4,10.7,2023-01-04, 2023-01-11,9.737963380727251,-22.11538461538462
3852.969970703125,3940.0,7.0,4.41,0.16612,0.18417,0.00285,1.49484,-1.62528,0.14831,8.3,9.1,9.4,2023-01-04, 2023-01-11,8.448117873759998,-8.79120879120878
3852.969970703125,3945.0,7.0,4.41,0.16463,0.16858,0.00272,1.41603,-1.5229,0.13581,6.4,8.1,8.4,2023-01-04, 2023-01-11,7.426804577086045,-20.987654320987648
3852.969970703125,3950.0,7.0,4.41,0.16522,0.15523,0.00255,1.34348,-1.43811,0.12561,5.8,7.3,7.6,2023-01-04, 2023-01-11,6.751541626442645,-20.547945205479454
3852.969970703125,3955.0,7.0,4.41,0.1646,0.14217,0.00246,1.26665,-1.34449,0.11469,6.3,6.5,6.8,2023-01-04, 2023-01-11,5.989350237777671,-3.0769230769230793
3852.969970703125,3960.0,7.0,4.41,0.16353,0.12942,0.00228,1.18865,-1.24884,0.10449,4.6,5.8,6.0,2023-01-04, 2023-01-11,5.246360370581044,-20.689655172413797
3852.969970703125,3965.0,7.0,4.41,0.16387,0.11902,0.00216,1.11859,-1.16903,0.09598,4.0,5.2,5.4,2023-01-04, 2023-01-11,4.717220969556934,-23.076923076923077
3852.969970703125,3970.0,7.0,4.41,0.16286,0.10828,0.00201,1.04419,-1.08177,0.0871,4.1,4.6,4.8,2023-01-04, 2023-01-11,4.107177232565846,-10.869565217391305
3852.969970703125,3975.0,7.0,4.41,0.16152,0.09658,0.00192,0.96725,-0.98841,0.07859,3.1,4.0,4.2,2023-01-04, 2023-01-11,3.530963682330537,-22.499999999999996
3852.969970703125,3980.0,7.0,4.41,0.16074,0.08757,0.00178,0.8948,-0.90603,0.07079,3.4,3.5,3.7,2023-01-04, 2023-01-11,3.0620568272123023,-2.85714285714286
3852.969970703125,3985.0,7.0,4.41,0.16127,0.07912,0.00162,0.83071,-0.83589,0.06347,3.1,3.1,3.3,2023-01-04, 2023-01-11,2.7392525060204207,0.0
3852.969970703125,3990.0,7.0,4.41,0.16051,0.07162,0.00151,0.76732,-0.76608,0.05762,2.55,2.75,2.9,2023-01-04, 2023-01-11,2.360793403171897,-7.27272727272728
3852.969970703125,3995.0,7.0,4.41,0.16352,0.06676,0.00138,0.73416,-0.74103,0.05437,2.4,2.6,2.75,2023-01-04, 2023-01-11,2.2603091557787707,-7.692307692307699
3852.969970703125,4000.0,7.0,4.41,0.16016,0.05694,0.00129,0.64388,-0.63002,0.04591,2.0,2.1,2.2,2023-01-04, 2023-01-11,1.79458411995833,-4.761904761904765
3852.969970703125,4005.0,7.0,4.41,0.16011,0.0509,0.00121,0.59146,-0.57575,0.04103,1.45,1.85,1.95,2023-01-04, 2023-01-11,1.5643847700732465,-21.621621621621628
3852.969970703125,4010.0,7.0,4.41,0.16233,0.04816,0.00107,0.56417,-0.5552,0.03863,1.76,1.75,1.85,2023-01-04, 2023-01-11,1.4665834315094912,0.571428571428572
3852.969970703125,4015.0,7.0,4.41,0.16027,0.04039,0.00099,0.49566,-0.47679,0.0327,1.35,1.4,1.55,2023-01-04, 2023-01-11,1.190719654220885,-3.5714285714285587
3852.969970703125,4020.0,7.0,4.41,0.16016,0.03648,0.00087,0.44794,-0.42674,0.02879,1.0,1.2,1.35,2023-01-04, 2023-01-11,1.0283631783553062,-16.666666666666664
3852.969970703125,4025.0,7.0,4.41,0.16274,0.03445,0.00081,0.43044,-0.41527,0.02795,0.84,1.15,1.3,2023-01-04, 2023-01-11,0.9789929868187102,-26.956521739130434
